fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.well_field.capital_a_parameter[default],fs.costing.well_field.capital_b_parameter[default],fs.costing.well_field.pipe_cost_basis[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.pipe_distance[0.0],fs.unit.pipe_diameter[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[WellFieldZO],fs.costing.LCOW_aggregate_indirect_capex[WellFieldZO],fs.costing.LCOW_aggregate_fixed_opex[WellFieldZO],fs.costing.LCOW_aggregate_variable_opex[WellFieldZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties[0.0].flow_vol,fs.unit.costing.pipe_cost,fs.unit.costing.well_cost,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit,fs.costing.well_field.capital_a_parameter[emwd],fs.costing.well_field.capital_b_parameter[emwd],fs.costing.well_field.pipe_cost_basis[emwd]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,6725312.321614437,0.0,0.0,202.43040533023805,138674.42045325052,7071665.906177581,238881.57404530566,4731.6,0.9196,35000.0,549.3009287256942,0.05493009287256943,202.43040533023805,0.0,8.0,6725312.321614437,1.0515,0.0149,6725312.321614437,100207.15359205511,100207.15359205511,138674.42045325052,698903.5896504218,10087.968482421655,336265.61608072184,6725.312321614437,6052.781089452994,53802.498572915494,20175.93696484331,13450.624643228874,0.04031433899696876,0.025235482443004085,0.0012996273458147146,0.005780175148123147,0.007999054060026814,0.025235482443004085,0.0012996273458147146,0.005780175148123147,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.5493558588185669,0.0,6725312.321614437,1.0,6725312.321614437,100,0.9,0.9,12.5375,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,7133267.834914243,0.0,0.0,215.81812572263325,147845.64334131856,7500631.128412327,254131.3340815408,4731.6,0.9196,35000.0,585.6289063981479,0.0585628906398148,215.81812572263325,0.0,8.0,7133267.834914243,1.0515,0.0149,7133267.834914243,106285.69074022221,106285.69074022221,147845.64334131856,742058.1529925568,10699.901752371365,356663.39174571214,7133.267834914243,6419.941051422819,57066.14267931395,21399.80350474273,14266.535669828487,0.04014838142891855,0.025105883731342194,0.0012929530121641253,0.00575049062538542,0.007999054060026815,0.025105883731342194,0.0012929530121641253,0.00575049062538542,0.007999054060026815,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.5856874692887877,0.0,7133267.834914243,1.0,7133267.834914243,100,0.9,0.9,13.366666666666665,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,7539192.420863231,0.0,0.0,229.20584611502852,157016.86622938665,7927460.830537688,269350.83330024884,4731.6,0.9196,35000.0,621.9568840706015,0.062195688407060155,229.20584611502852,0.0,8.0,7539192.420863231,1.0515,0.0149,7539192.420863231,112333.96707086214,112333.96707086214,157016.86622938665,785043.5368694066,11308.788631294847,376959.62104316155,7539.192420863231,6785.273178776908,60313.53936690585,22617.577262589693,15078.384841726462,0.03999319207988225,0.024984694080667943,0.0012867117451544003,0.005722732194033091,0.007999054060026814,0.024984694080667943,0.0012867117451544003,0.005722732194033091,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.6220190797590086,0.0,7539192.420863231,1.0,7539192.420863231,100,0.9,0.9,14.195833333333331,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,7943214.091088244,0.0,0.0,242.59356650742376,166188.0891174547,8352289.616779289,284541.97907466954,4731.6,0.9196,35000.0,658.2848617430552,0.06582848617430553,242.59356650742376,0.0,8.0,7943214.091088244,1.0515,0.0149,7943214.091088244,118353.88995721484,118353.88995721484,166188.0891174547,827870.4048522555,11914.821136632367,397160.7045544122,7943.214091088244,7148.89268197942,63545.71272870595,23829.642273264733,15886.428182176487,0.0398475014561916,0.0248709221246592,0.0012808524894199484,0.005696672782085634,0.007999054060026812,0.0248709221246592,0.0012808524894199484,0.005696672782085634,0.007999054060026812,0.007999054060026812,0.10235745599986286,0.10235745599986286,0.6583506902292295,0.0,7943214.091088244,1.0,7943214.091088244,100,0.9,0.9,15.024999999999999,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,8345446.169561705,0.0,0.0,255.9812868998191,175359.31200552284,8775236.647294134,299706.4599319922,4731.6,0.9196,35000.0,694.612839415509,0.0694612839415509,255.9812868998191,0.0,8.0,8345446.169561705,1.0515,0.0149,8345446.169561705,124347.1479264694,124347.1479264694,175359.31200552284,870548.1970075103,12518.169254342558,417272.30847808527,8345.446169561705,7510.901552605535,66763.56935649364,25036.338508685116,16690.89233912341,0.039710249829804506,0.024763740306063944,0.001275332625762297,0.0056721228379514495,0.007999054060026814,0.024763740306063944,0.001275332625762297,0.0056721228379514495,0.007999054060026814,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.6946823006994506,0.0,8345446.169561705,1.0,8345446.169561705,100,0.9,0.9,15.854166666666666,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,8745989.65847049,0.0,0.0,269.36900729221435,184530.5348935909,9196408.12588172,314845.78080480115,4731.6,0.9196,35000.0,730.9408170879626,0.07309408170879628,269.36900729221435,0.0,8.0,8745989.65847049,1.0515,0.0149,8745989.65847049,130315.24591121028,130315.24591121028,184530.5348935909,913085.3269773237,13118.984487705733,437299.48292352445,8745.98965847049,7871.390692623441,69967.91726776391,26237.968975411466,17491.97931694098,0.03958054365430959,0.024662450841315662,0.0012701162183277593,0.005648922534639354,0.007999054060026815,0.024662450841315662,0.0012701162183277593,0.005648922534639354,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.7310139111696714,0.0,8745989.65847049,1.0,8745989.65847049,100,0.9,0.9,16.683333333333334,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,9144935.124174885,0.0,0.0,282.75672768460964,193701.757781659,9615899.283069894,329961.29113186477,4731.6,0.9196,35000.0,767.2687947604164,0.07672687947604165,282.75672768460964,0.0,8.0,9144935.124174885,1.0515,0.0149,9144935.124174885,136259.5333502058,136259.5333502058,193701.757781659,955489.339082964,13717.402686262329,457246.7562087443,9144.935124174886,8230.441611757398,73159.48099339909,27434.805372524657,18289.870248349773,0.03945762271150444,0.024566460064811915,0.00126517269333782,0.005626935893327894,0.007999054060026815,0.024566460064811915,0.00126517269333782,0.005626935893327894,0.007999054060026815,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.7673455216398924,0.0,9144935.124174885,1.0,9144935.124174885,100,0.9,0.9,17.5125,default,WellFieldZO,well_field,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,9542364.218764795,0.0,0.0,296.14444807700494,202872.98066972708,10033795.976031182,345054.20752932254,4731.6,0.9196,35000.0,803.5967724328701,0.08035967724328703,296.14444807700494,0.0,8.0,9542364.218764795,1.0515,0.0149,9542364.218764795,142181.22685959545,142181.22685959545,202872.98066972708,997767.0350728552,14313.546328147193,477118.21093823976,9542.364218764795,8588.127796888317,76338.91375011836,28627.092656294386,19084.72843752959,0.0393408349722709,0.024475258797401245,0.0012604758280661665,0.005606046286776679,0.007999054060026814,0.024475258797401245,0.0012604758280661665,0.005606046286776679,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.8036771321101135,0.0,9542364.218764795,1.0,9542364.218764795,100,0.9,0.9,18.34166666666667,default,WellFieldZO,well_field,,,
