# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed,number_stages
138.8889,0.45,11.21991,5.048961,46.24745,20.81135,7
138.8889,0.5,12.11539,6.057696,50.53666,25.26833,7
138.8889,0.55,14.00918,7.705047,58.04957,31.92727,7
156.1111,0.2,17.79014,3.558028,68.96379,13.79276,7
156.1111,0.25,15.95021,3.987552,62.52696,15.63174,7
156.1111,0.3,15.04618,4.513853,59.77697,17.93309,7
156.1111,0.35,14.75774,5.165209,59.78648,20.92527,7
156.1111,0.4,15.00378,6.001511,61.95955,24.78382,7
156.1111,0.45,15.85788,7.136046,65.89516,29.65282,7
156.1111,0.5,17.97195,8.985974,74.04299,37.02149,7
173.3333,0.2,23.74158,4.748317,93.53238,18.70648,7
173.3333,0.25,21.3639,5.340975,85.43406,21.35851,7
173.3333,0.3,20.25411,6.076233,82.41594,24.72478,7
173.3333,0.35,19.98245,6.993856,82.49982,28.87494,7
173.3333,0.4,20.64925,8.259699,85.49837,34.19935,7
173.3333,0.45,22.91042,10.30969,93.93383,42.27022,7
190.5556,0.2,31.03472,6.206945,124.5549,24.91099,7
190.5556,0.25,28.0662,7.01655,114.6842,28.67105,7
190.5556,0.3,26.74649,8.023947,110.3345,33.10036,7
190.5556,0.35,26.92886,9.425102,111.1289,38.89513,7
207.7778,0.2,39.9311,7.98622,163.4449,32.68898,7
207.7778,0.25,36.35903,9.089758,149.8009,37.45021,7
207.7778,0.3,35.43005,10.62901,145.7609,43.72826,7
225.0,0.2,50.94616,10.18923,209.5911,41.91821,7
225.0,0.25,47.4734,11.86835,194.749,48.68726,7
70.0,0.2,2.968969,0.5937937,7.985376,1.597075,20
70.0,0.25,2.403606,0.6009015,7.095258,1.773814,20
70.0,0.3,2.552091,0.7656272,8.490566,2.54717,20
70.0,0.35,2.499591,0.8748567,8.915603,3.120461,20
70.0,0.4,2.431113,0.9724451,8.922797,3.569119,20
70.0,0.45,2.375172,1.068827,8.886951,3.999128,20
70.0,0.5,2.363899,1.18195,9.039563,4.519782,20
70.0,0.55,2.42729,1.335009,9.536634,5.245149,20
70.0,0.6,2.610118,1.566071,10.47245,6.283471,20
70.0,0.65,2.926284,1.902084,11.95232,7.76901,20
87.22222,0.2,5.314299,1.06286,17.68362,3.536723,20
87.22222,0.25,4.594403,1.148601,15.66569,3.916423,20
87.22222,0.3,4.121239,1.236372,14.39481,4.318443,20
87.22222,0.35,3.823637,1.338273,13.60258,4.760904,20
87.22222,0.4,3.663572,1.465429,13.48589,5.394356,20
87.22222,0.45,3.641745,1.638785,13.82117,6.219525,20
87.22222,0.5,3.754552,1.877276,14.55739,7.278695,20
87.22222,0.55,3.994999,2.197249,15.86306,8.724684,20
87.22222,0.6,4.413531,2.648119,17.86633,10.7198,20
87.22222,0.65,5.107131,3.319635,21.00448,13.65291,20
104.4444,0.2,7.551044,1.510209,25.47174,5.094349,20
